problem, s_np_a, s_np_t, s_probe_a, s_probe_t,c_np_a, c_np_t, c_probe_a, c_probe_t
problem_simple_4_4_od1_n1.pddl,1,0.00301599502563,1,0.00284218788147,2,0.019868850708,1,0.00431203842163
problem_simple_4_4_od1_n10.pddl,3,0.00290894508362,3,0.00294804573059,6,0.0220720767975,5,0.00811195373535
problem_simple_4_4_od1_n2.pddl,5,0.0029079914093,5,0.00301504135132,7,0.0202078819275,8,0.00872206687927
problem_simple_4_4_od1_n3.pddl,5,0.00312304496765,5,0.00310492515564,8,0.020868062973,4,0.0103449821472
problem_simple_4_4_od1_n4.pddl,7,0.00295400619507,7,0.00320792198181,6,0.0218868255615,7,0.0095489025116
problem_simple_4_4_od1_n5.pddl,3,0.00356006622314,3,0.00360703468323,6,0.0198290348053,5,0.00668811798096
problem_simple_4_4_od1_n6.pddl,5,0.00290083885193,5,0.00305700302124,8,0.0208160877228,6,0.00765800476074
problem_simple_4_4_od1_n7.pddl,6,0.00293111801147,6,0.00298118591309,6,0.0202641487122,6,0.00630283355713
problem_simple_4_4_od1_n8.pddl,3,0.00302910804749,3,0.00304579734802,6,0.0197849273682,2,0.00501203536987
problem_simple_4_4_od1_n9.pddl,6,0.00293898582458,6,0.00301790237427,15,0.0561909675598,9,0.00994300842285
